Name,Problem ID,Tags,Time Limit,Memory Limit,Description,Input Specification,Output Specification
Med-imize,1993D,"binary search, dp, greedy",2,256,"time limit per test 2 seconds memory limit per test 256 megabytes input standard input output standard output Given two positive integers $$$n$$$ and $$$k$$$, and another array $$$a$$$ of $$$n$$$ integers. In one operation, you can select any subarray of size $$$k$$$ of $$$a$$$, then remove it from the array without changing the order of other elements. More formally, let $$$(l, r)$$$ be an operation on subarray $$$a_l, a_{l+1}, \ldots, a_r$$$ such that $$$r-l+1=k$$$, then performing this operation means replacing $$$a$$$ with $$$[a_1, \ldots, a_{l-1}, a_{r+1}, \ldots, a_n]$$$. For example, if $$$a=[1,2,3,4,5]$$$ and we perform operation $$$(3,5)$$$ on this array, it will become $$$a=[1,2]$$$. Moreover, operation $$$(2, 4)$$$ results in $$$a=[1,5]$$$, and operation $$$(1,3)$$$ results in $$$a=[4,5]$$$. You have to repeat the operation while the length of $$$a$$$ is greater than $$$k$$$ (which means $$$|a| \gt k$$$). What is the largest possible median$$$^\dagger$$$ of all remaining elements of the array $$$a$$$ after the process? $$$^\dagger$$$The median of an array of length $$$n$$$ is the element whose index is $$$\left \lfloor (n+1)/2 \right \rfloor$$$ after we sort the elements in non-decreasing order. For example: $$$median([2,1,5,4,3]) = 3$$$, $$$median([5]) = 5$$$, and $$$median([6,8,2,4]) = 4$$$. Input The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of test cases. The first line of each test case contains two integers $$$n$$$ and $$$k$$$ ($$$1 \le n, k \le 5 \cdot 10^5$$$). The second line contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$1 \le a_i \le 10^9$$$) — the array $$$a$$$. It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$5 \cdot 10^5$$$. Output For each test case, print a single integer — the largest median possible after performing the operations. Example 5 4 3 3 9 9 2 5 3 3 2 5 6 4 7 1 5 9 2 6 5 4 6 8 2 7 1 2 6 8 3 4 5 4 5 3 4 5 6 3
4
9
6
4 Note In the first test case, you can select a subarray $$$(l, r)$$$ which can be either $$$(1, 3)$$$ or $$$(2, 4)$$$. Thus, two obtainable final arrays are $$$[3]$$$ and $$$[2]$$$. The former one has the larger median ($$$3 > 2$$$) so the answer is $$$3$$$. In the second test case, three obtainable final arrays are $$$[6, 4]$$$, $$$[3, 4]$$$, and $$$[3, 2]$$$. Their medians are $$$4$$$, $$$3$$$, and $$$2$$$ respectively. The answer is $$$4$$$. In the third test case, only one element is left in the final array and it can be any element of the initial array. The largest one among them is $$$9$$$, so the answer is $$$9$$$.",N/A,N/A
Light Switches,1993C,"implementation, math",2,256,"time limit per test 2 seconds memory limit per test 256 megabytes input standard input output standard output There is an apartment consisting of $$$n$$$ rooms, each with its light initially turned off . To control the lights in these rooms, the owner of the apartment decided to install chips in the rooms so that each room has exactly one chip, and the chips are installed at different times. Specifically, these times are represented by the array $$$a_1, a_2, \ldots, a_n$$$, where $$$a_i$$$ is the time (in minutes) at which a chip is installed in the $$$i$$$-th room. As soon as a chip is installed, it changes the room's light status every $$$k$$$ minutes — it turns on the light for $$$k$$$ minutes, then turns it off for the next $$$k$$$ minutes, then turns it back on for the next $$$k$$$ minutes, and so on. In other words, the light status is changed by the chip at minute $$$a_i$$$, $$$a_i + k$$$, $$$a_i + 2k$$$, $$$a_i + 3k$$$, $$$\ldots$$$ for the $$$i$$$-th room. What is the earliest moment when all rooms in the apartment have their lights turned on? Input The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of test cases. The first line of each test case contains two integers $$$n$$$ and $$$k$$$ ($$$1 \le k \le n \le 2 \cdot 10^5$$$) — the number of rooms in the apartment and the period of the chips. The second line contains $$$n$$$ distinct integers $$$a_1, a_2, \ldots, a_n$$$ ($$$1 \le a_i \le 10^9$$$) — the moments when the chips are installed. It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$2 \cdot 10^5$$$. Output For each test case, print a single integer — the answer to the question (in minutes). If there is no such moment that the lights are turned on in all the rooms, print $$$-1$$$ instead. Example 9 4 4 2 3 4 5 4 3 2 3 4 5 4 3 3 4 8 9 3 3 6 2 1 1 1 1 7 5 14 34 6 25 46 7 17 6 5 40 80 99 60 90 50 6 5 64 40 50 68 70 10 2 1 1 1000000000 5
-1
10
8
1
47
100
-1
-1 Note In the first test case, all lights will be on by the minute $$$5$$$ without any of them being turned off by the chips. The answer is $$$5$$$. In the second test case, due to $$$k=3$$$, the $$$1$$$-st light will be on at minutes $$$2, 3, 4, 8, 9, 10, 14, \ldots$$$; meanwhile, the $$$4$$$-th light will be on at minutes $$$5, 6, 7, 11, 12, 13, 17, \ldots$$$. These two sequences don't have any number in common, so they will never be on at the same time. In the third test case, it can be seen that the $$$1$$$-st and $$$2$$$-nd lights will be turned off at minutes $$$6$$$ and $$$7$$$, but the chips will turn them back on at minutes $$$9$$$ and $$$10$$$. The $$$3$$$-rd and $$$4$$$-th lights will also be on at minute $$$10$$$, so the answer is $$$10$$$.",N/A,N/A
Parity and Sum,1993B,"constructive algorithms, greedy",1 second,256,"time limit per test 1 second memory limit per test 256 megabytes input standard input output standard output Given an array $$$a$$$ of $$$n$$$ positive integers. In one operation, you can pick any pair of indexes $$$(i, j)$$$ such that $$$a_i$$$ and $$$a_j$$$ have distinct parity, then replace the smaller one with the sum of them. More formally: If $$$a_i < a_j$$$, replace $$$a_i$$$ with $$$a_i + a_j$$$; Otherwise, replace $$$a_j$$$ with $$$a_i + a_j$$$. Find the minimum number of operations needed to make all elements of the array have the same parity. Input The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of test cases. The first line of each test case contains a single integer $$$n$$$ ($$$1 \le n \le 2 \cdot 10^5$$$). The second line contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$1 \le a_i \le 10^9$$$) — the elements of array $$$a$$$. It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$2 \cdot 10^5$$$. Output For each test case, output a single integer — the minimum number of operations required. Example 7 5 1 3 5 7 9 4 4 4 4 4 3 2 3 4 4 3 2 2 8 6 4 3 6 1 2 1 6 3 6 1 2 1 2 5 999999996 999999997 999999998 999999999 1000000000 0
0
2
4
3
3
3 Note In the first test case, all integers already have the same parity. Therefore, no operation is needed. In the third test case, we can perform two operations $$$(1, 2)$$$ and $$$(1, 3)$$$. The array $$$a$$$ transforms as follows: $$$a = [\color{red}2, \color{red}3, 4] \longrightarrow [\color{red}5, 3, \color{red}4] \longrightarrow [5, 3, 9]$$$. In the fourth test case, an example of an optimal sequence of operations is $$$(1, 2)$$$, $$$(1, 3)$$$, $$$(1, 4)$$$, and $$$(1, 4)$$$. The array $$$a$$$ transforms as follows: $$$a = [\color{red}3, \color{red}2, 2, 8] \longrightarrow [\color{red}3, 5, \color{red}2, 8] \longrightarrow [\color{red}3, 5, 5, \color{red}8] \longrightarrow [\color{red}{11}, 5, 5, \color{red}8] \longrightarrow [11, 5, 5, 19]$$$.",N/A,N/A
Question Marks,1993A,"greedy, implementation",1 second,256,"time limit per test 1 second memory limit per test 256 megabytes input standard input output standard output Tim is doing a test consisting of $$$4n$$$ questions; each question has $$$4$$$ options: ' A ', ' B ', ' C ', and ' D '. For each option, there are exactly $$$n$$$ correct answers corresponding to that option — meaning there are $$$n$$$ questions with the answer ' A ', $$$n$$$ questions with the answer ' B ', $$$n$$$ questions with the answer ' C ', and $$$n$$$ questions with the answer ' D '. For each question, Tim wrote his answer on the answer sheet. If he could not figure out the answer, he would leave a question mark ' ? ' for that question. You are given his answer sheet of $$$4n$$$ characters. What is the maximum number of correct answers Tim can get? Input The first line contains a single integer $$$t$$$ ($$$1 \le t \le 1000$$$) — the number of test cases. The first line of each test case contains an integer $$$n$$$ ($$$1 \le n \le 100$$$). The second line of each test case contains a string $$$s$$$ of $$$4n$$$ characters ($$$s_i \in \{\texttt{A}, \texttt{B}, \texttt{C}, \texttt{D}, \texttt{?}\}$$$) — Tim's answers for the questions. Output For each test case, print a single integer — the maximum score that Tim can achieve. Example 6 1 ABCD 2 AAAAAAAA 2 AAAABBBB 2 ???????? 3 ABCABCABCABC 5 ACADC??ACAC?DCAABC?C 4
2
4
0
9
13 Note In the first test case, there is exactly one question with each answer ' A ', ' B ', ' C ', and ' D '; so it's possible that Tim gets all his answers correct. In the second test case, there are only two correct answers ' A ' which makes him get exactly $$$2$$$ points in any case. In the third test case, Tim can get at most $$$2$$$ correct answers with option ' A ' and $$$2$$$ correct answers with option ' B '. For example, he would get $$$4$$$ points if the answers were ' AACCBBDD '. In the fourth test case, he refuses to answer any question at all, which makes him get $$$0$$$ points.",N/A,N/A
Ultra-Meow,1992G,"combinatorics, dp, math",2.5,256,"time limit per test 2.5 seconds memory limit per test 256 megabytes input standard input output standard output K1o0n gave you an array $$$a$$$ of length $$$n$$$, consisting of numbers $$$1, 2, \ldots, n$$$. Accept it? Of course! But what to do with it? Of course, calculate $$$\text{MEOW}(a)$$$. Let $$$\text{MEX}(S, k)$$$ be the $$$k$$$-th positive (strictly greater than zero) integer in ascending order that is not present in the set $$$S$$$. Denote $$$\text{MEOW}(a)$$$ as the sum of $$$\text{MEX}(b, |b| + 1)$$$, over all distinct subsets $$$b$$$ of the array $$$a$$$. Examples of $$$\text{MEX}(S, k)$$$ values for sets: $$$\text{MEX}(\{3,2\}, 1) = 1$$$, because $$$1$$$ is the first positive integer not present in the set; $$$\text{MEX}(\{4,2,1\}, 2) = 5$$$, because the first two positive integers not present in the set are $$$3$$$ and $$$5$$$; $$$\text{MEX}(\{\}, 4) = 4$$$, because there are no numbers in the empty set, so the first $$$4$$$ positive integers not present in it are $$$1, 2, 3, 4$$$. Input The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of test cases. In a single line of each test case, an integer $$$n$$$ ($$$1 \le n \le 5000$$$) is entered, the size of the array of gifted numbers. It is guaranteed that the sum of $$$n^2$$$ over all test cases does not exceed $$$25 \cdot 10^6$$$. Output For each test case, output a single number — $$$\text{MEOW}(a)$$$. Since it may be very large, output it modulo $$$10^9 + 7$$$. Example 5 2 3 4999 5 1 12
31
354226409
184
4",N/A,N/A
Valuable Cards,1992F,"brute force, dp, greedy, number theory, two pointers",4,512,"time limit per test 4 seconds memory limit per test 512 megabytes input standard input output standard output In his favorite cafe Kmes once again wanted to try the herring under a fur coat. Previously, it would not have been difficult for him to do this, but the cafe recently introduced a new purchasing policy. Now, in order to make a purchase, Kmes needs to solve the following problem: $$$n$$$ cards with prices for different positions are laid out in front of him, on the $$$i$$$-th card there is an integer $$$a_i$$$, among these prices there is no whole positive integer $$$x$$$. Kmes is asked to divide these cards into the minimum number of bad segments (so that each card belongs to exactly one segment). A segment is considered bad if it is impossible to select a subset of cards with a product equal to $$$x$$$. All segments, in which Kmes will divide the cards, must be bad . Formally, the segment $$$(l, r)$$$ is bad if there are no indices $$$i_1 < i_2 < \ldots < i_k$$$ such that $$$l \le i_1, i_k \le r$$$, and $$$a_{i_1} \cdot a_{i_2} \ldots \cdot a_{i_k} = x$$$. Help Kmes determine the minimum number of bad segments in order to enjoy his favorite dish. Input The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^3$$$) — the number of test cases. The first line of each set of input data gives you $$$2$$$ integers $$$n$$$ and $$$x$$$ ($$$1 \le n \le 10^5, 2 \le x \le 10^5$$$) — the number of cards and the integer, respectively. The second line of each set of input data contains $$$n$$$ integers $$$a_i$$$ ($$$1 \le a_i \le 2 \cdot 10^5, a_i \neq x$$$) — the prices on the cards. It is guaranteed that the sum of $$$n$$$ over all sets of test data does not exceed $$$10^5$$$. Output For each set of input data, output the minimum number of bad segments. Example 8 6 4 2 3 6 2 1 2 9 100000 50000 25000 12500 6250 3125 2 4 8 16 5 2 1 1 1 1 1 8 6 4 3 4 3 4 3 4 3 7 12 6 11 1 3 11 10 2 10 5 2 4 4 2 4 4 4 3 1 1 7 8 4 6 5 1 2 4 1 8 27 3 9 17 26 2 20 9 3 3
2
1
1
2
1
3
3",N/A,N/A
Novice's Mistake,1992E,"brute force, constructive algorithms, implementation, math, strings",3,256,"time limit per test 3 seconds memory limit per test 256 megabytes input standard input output standard output One of the first programming problems by K1o0n looked like this: ""Noobish_Monk has $$$n$$$ $$$(1 \le n \le 100)$$$ friends. Each of them gave him $$$a$$$ $$$(1 \le a \le 10000)$$$ apples for his birthday. Delighted with such a gift, Noobish_Monk returned $$$b$$$ $$$(1 \le b \le \min(10000, a \cdot n))$$$ apples to his friends. How many apples are left with Noobish_Monk?"" K1o0n wrote a solution, but accidentally considered the value of $$$n$$$ as a string, so the value of $$$n \cdot a - b$$$ was calculated differently. Specifically: when multiplying the string $$$n$$$ by the integer $$$a$$$, he will get the string $$$s=\underbrace{n + n + \dots + n + n}_{a\ \text{times}}$$$ when subtracting the integer $$$b$$$ from the string $$$s$$$, the last $$$b$$$ characters will be removed from it. If $$$b$$$ is greater than or equal to the length of the string $$$s$$$, it will become empty. Learning about this, ErnKor became interested in how many pairs $$$(a, b)$$$ exist for a given $$$n$$$, satisfying the constraints of the problem, on which K1o0n's solution gives the correct answer. ""The solution gives the correct answer"" means that it outputs a non-empty string, and this string, when converted to an integer, equals the correct answer, i.e., the value of $$$n \cdot a - b$$$. Input The first line contains a single integer $$$t$$$ ($$$1 \le t \le 100$$$)  — the number of test cases. For each test case, a single line of input contains an integer $$$n$$$ ($$$1 \le n \le 100$$$). It is guaranteed that in all test cases, $$$n$$$ is distinct. Output For each test case, output the answer in the following format: In the first line, output the integer $$$x$$$ — the number of bad tests for the given $$$n$$$. In the next $$$x$$$ lines, output two integers $$$a_i$$$ and $$$b_i$$$ — such integers that K1o0n's solution on the test ""$$$n$$$ $$$a_i$$$ $$$b_i$$$"" gives the correct answer. Example 3 2 3 10 3
20 18 
219 216 
2218 2214 
1
165 162 
1
1262 2519 Note In the first example, $$$a = 20$$$, $$$b = 18$$$ are suitable, as ""$$$\text{2}$$$"" $$$\cdot 20 - 18 =$$$ ""$$$\text{22222222222222222222}$$$""$$$- 18 = 22 = 2 \cdot 20 - 18$$$",N/A,N/A
Test of Love,1992D,"dp, greedy, implementation",2,256,"time limit per test 2 seconds memory limit per test 256 megabytes input standard input output standard output ErnKor is ready to do anything for Julen, even to swim through crocodile-infested swamps. We decided to test this love. ErnKor will have to swim across a river with a width of $$$1$$$ meter and a length of $$$n$$$ meters. The river is very cold. Therefore, in total (that is, throughout the entire swim from $$$0$$$ to $$$n+1$$$) ErnKor can swim in the water for no more than $$$k$$$ meters. For the sake of humanity, we have added not only crocodiles to the river, but also logs on which he can jump. Our test is as follows: Initially, ErnKor is on the left bank and needs to reach the right bank. They are located at the $$$0$$$ and $$$n+1$$$ meters respectively. The river can be represented as $$$n$$$ segments , each with a length of $$$1$$$ meter. Each segment contains either a log 'L' , a crocodile 'C' , or just water 'W' . ErnKor can move as follows: If he is on the surface (i.e., on the bank or on a log), he can jump forward for no more than $$$m$$$ ($$$1 \le m \le 10$$$) meters (he can jump on the bank, on a log, or in the water). If he is in the water, he can only swim to the next river segment (or to the bank if he is at the $$$n$$$-th meter). ErnKor cannot land in a segment with a crocodile in any way. Determine if ErnKor can reach the right bank. Input The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^4$$$)  — the number of test cases. The first line of each test case contains three numbers $$$n, m, k$$$ ($$$0 \le k \le 2 \cdot 10^5$$$, $$$1 \le n \le 2 \cdot 10^5$$$, $$$1 \le m \le 10$$$) — the length of the river, the distance ErnKor can jump, and the number of meters ErnKor can swim without freezing. The second line of each test case contains a string $$$a$$$ of length $$$n$$$. $$$a_i$$$ denotes the object located at the $$$i$$$-th meter. ($$$a_i \in \{$$$ 'W' , 'C' , 'L' $$$\}$$$) It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$2 \cdot 10^5$$$. Output For each test case, output "" YES "" if ErnKor can pass the test, and output "" NO "" otherwise. You can output the answer in any case (upper or lower). For example, the strings "" yEs "", "" yes "", "" Yes "", and "" YES "" will be recognized as positive responses. Example 6 6 2 0 LWLLLW 6 1 1 LWLLLL 6 1 1 LWLLWL 6 2 15 LWLLCC 6 10 0 CCCCCC 6 6 1 WCCCCW YES
YES
NO
NO
YES
YES Note Let's consider examples: First example: We jump from the shore to the first log ($$$0 \rightarrow 1$$$), from the first log to the second ($$$1 \rightarrow 3$$$), from the second to the fourth ($$$3 \rightarrow 5$$$), and from the last log to the shore ($$$5 \rightarrow 7$$$). So, we have $$$0 \rightarrow 1 \rightarrow 3 \rightarrow 5 \rightarrow 7$$$. Since we did not encounter a crocodile and swam no more than k meters, the answer is «YES» . Second example: $$$0 \rightarrow 1$$$, we jump into the water from the first log ($$$1 \rightarrow 2$$$), swim a cell to the log ($$$2 \leadsto 3$$$), $$$3 \rightarrow 4 \rightarrow 5 \rightarrow 6 \rightarrow 7$$$. Since we did not encounter a crocodile and swam no more than k meters, the answer is «YES» . In the third example, ErnKor needs to swim two cells 'W' , but can only swim one. Therefore, the answer is «NO» . Sixth example: We jump from the shore into the water ($$$0 \rightarrow 6$$$) and swim one cell in the water ($$$6 \leadsto 7$$$). Since we did not encounter a crocodile and swam no more than k meters, the answer is «YES» .",N/A,N/A
Gorilla and Permutation,1992C,"constructive algorithms, math",2,256,"time limit per test 2 seconds memory limit per test 256 megabytes input standard input output standard output Gorilla and Noobish_Monk found three numbers $$$n$$$, $$$m$$$, and $$$k$$$ ($$$m < k$$$). They decided to construct a permutation$$$^{\dagger}$$$ of length $$$n$$$. For the permutation, Noobish_Monk came up with the following function: $$$g(i)$$$ is the sum of all the numbers in the permutation on a prefix of length $$$i$$$ that are not greater than $$$m$$$. Similarly, Gorilla came up with the function $$$f$$$, where $$$f(i)$$$ is the sum of all the numbers in the permutation on a prefix of length $$$i$$$ that are not less than $$$k$$$. A prefix of length $$$i$$$ is a subarray consisting of the first $$$i$$$ elements of the original array. For example, if $$$n = 5$$$, $$$m = 2$$$, $$$k = 5$$$, and the permutation is $$$[5, 3, 4, 1, 2]$$$, then: $$$f(1) = 5$$$, because $$$5 \ge 5$$$; $$$g(1) = 0$$$, because $$$5 > 2$$$; $$$f(2) = 5$$$, because $$$3 < 5$$$; $$$g(2) = 0$$$, because $$$3 > 2$$$; $$$f(3) = 5$$$, because $$$4 < 5$$$; $$$g(3) = 0$$$, because $$$4 > 2$$$; $$$f(4) = 5$$$, because $$$1 < 5$$$; $$$g(4) = 1$$$, because $$$1 \le 2$$$; $$$f(5) = 5$$$, because $$$2 < 5$$$; $$$g(5) = 1 + 2 = 3$$$, because $$$2 \le 2$$$. Help them find a permutation for which the value of $$$\left(\sum_{i=1}^n f(i) - \sum_{i=1}^n g(i)\right)$$$ is maximized. $$$^{\dagger}$$$A permutation of length $$$n$$$ is an array consisting of $$$n$$$ distinct integers from $$$1$$$ to $$$n$$$ in any order. For example, $$$[2,3,1,5,4]$$$ is a permutation, but $$$[1,2,2]$$$ is not a permutation (as $$$2$$$ appears twice in the array) and $$$[1,3,4]$$$ is also not a permutation (as $$$n=3$$$, but $$$4$$$ appears in the array). Input The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^4$$$)  — the number of test cases. The only line of each case contains three integers $$$n$$$, $$$m$$$, $$$k$$$ ($$$2\le n \le 10^5$$$; $$$1 \le m < k \le n$$$) — the size of the permutation to be constructed and two integers. It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$2 \cdot 10^5$$$. Output For each test case, output the permutation  — a set of numbers that satisfies the conditions of the problem. If there are multiple solutions, output any of them. Example 3 5 2 5 3 1 3 10 3 8 5 3 4 1 2
3 2 1
10 9 8 4 7 5 6 1 2 3 Note In the first example, $$$\left(\sum_{i=1}^n f(i) - \sum_{i=1}^n g(i)\right) = 5 \cdot 5 - (0 \cdot 3 + 1 + 3) = 25 - 4 = 21$$$",N/A,N/A
Angry Monk,1992B,"greedy, math, sortings",2,256,"time limit per test 2 seconds memory limit per test 256 megabytes input standard input output standard output To celebrate his recovery, k1o0n has baked an enormous $$$n$$$ metres long potato casserole. Turns out, Noobish_Monk just can't stand potatoes, so he decided to ruin k1o0n's meal. He has cut it into $$$k$$$ pieces, of lengths $$$a_1, a_2, \dots, a_k$$$ meters. k1o0n wasn't keen on that. Luckily, everything can be fixed. In order to do that, k1o0n can do one of the following operations: Pick a piece with length $$$a_i \ge 2$$$ and divide it into two pieces with lengths $$$1$$$ and $$$a_i - 1$$$. As a result, the number of pieces will increase by $$$1$$$; Pick a slice $$$a_i$$$ and another slice with length $$$a_j=1$$$ ($$$i \ne j$$$) and merge them into one piece with length $$$a_i+1$$$. As a result, the number of pieces will decrease by $$$1$$$. Help k1o0n to find the minimum number of operations he needs to do in order to merge the casserole into one piece with length $$$n$$$. For example, if $$$n=5$$$, $$$k=2$$$ and $$$a = [3, 2]$$$, it is optimal to do the following: Divide the piece with length $$$2$$$ into two pieces with lengths $$$2-1=1$$$ and $$$1$$$, as a result $$$a = [3, 1, 1]$$$. Merge the piece with length $$$3$$$ and the piece with length $$$1$$$, as a result $$$a = [4, 1]$$$. Merge the piece with length $$$4$$$ and the piece with length $$$1$$$, as a result $$$a = [5]$$$. Input Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 10^4$$$). Description of each test case consists of two lines. The first line contains two integers $$$n$$$ and $$$k$$$ ($$$2 \le n \le 10^9$$$, $$$2 \le k \le 10^5$$$) — length of casserole and the number of pieces. The second line contains $$$k$$$ integers $$$a_1, a_2, \ldots, a_k$$$ ($$$1 \le a_i \le n - 1$$$, $$$\sum a_i = n$$$) — lengths of pieces of casserole, which Noobish_Monk has cut. It is guaranteed that the sum of $$$k$$$ over all $$$t$$$ test cases doesn't exceed $$$2 \cdot 10^5$$$. Output For each test case, output the minimum number of operations K1o0n needs to restore his pie after the terror of Noobish_Monk. Example 4 5 3 3 1 1 5 2 3 2 11 4 2 3 1 5 16 6 1 6 1 1 1 6 2
3
9
15",N/A,N/A
Only Pluses,1992A,"brute force, constructive algorithms, greedy, math, sortings",1 second,256,"time limit per test 1 second memory limit per test 256 megabytes input standard input output standard output Kmes has written three integers $$$a$$$, $$$b$$$ and $$$c$$$ in order to remember that he has to give Noobish_Monk $$$a \times b \times c$$$ bananas. Noobish_Monk has found these integers and decided to do the following at most $$$5$$$ times : pick one of these integers; increase it by $$$1$$$. For example, if $$$a = 2$$$, $$$b = 3$$$ and $$$c = 4$$$, then one can increase $$$a$$$ three times by one and increase $$$b$$$ two times. After that $$$a = 5$$$, $$$b = 5$$$, $$$c = 4$$$. Then the total number of bananas will be $$$5 \times 5 \times 4 = 100$$$. What is the maximum value of $$$a \times b \times c$$$ Noobish_Monk can achieve with these operations? Input Each test contains multiple test cases. The first line of input contains a single integer $$$t$$$ ($$$1 \le t \le 1000$$$) — the number of test cases. The description of the test cases follows. The first and only line of each test case contains three integers $$$a$$$, $$$b$$$ and $$$c$$$ ($$$1 \le a, b, c \le 10$$$) — Kmes's integers. Output For each test case, output a single integer — the maximum amount of bananas Noobish_Monk can get. Example 2 2 3 4 10 1 10 100
600",N/A,N/A
Grid Game,1991I,"constructive algorithms, games, graph matchings, greedy, interactive",5,256,"time limit per test 5 seconds memory limit per test 256 megabytes input standard input output standard output This is an interactive problem. You are given a grid with $$$n$$$ rows and $$$m$$$ columns. You need to fill each cell with a unique integer from $$$1$$$ to $$$n \cdot m$$$. After filling the grid, you will play a game on this grid against the interactor. Players take turns selecting one of the previously unselected cells from the grid, with the interactor going first. On the first turn, the interactor can choose any cell from the grid. After that, any chosen cell must be orthogonally adjacent to at least one previously selected cell. Two cells are considered orthogonally adjacent if they share an edge. The game continues until all cells have been selected. Your goal is to let the sum of numbers in the cells selected by you be strictly less than the sum of numbers in the cells selected by the interactor. Input Each test contains multiple test cases. The first line contains a single integer $$$t$$$ ($$$1 \le t \le 100$$$) — the number of test cases. The description of test cases follows. The only line of each test case contains two integers $$$n$$$ and $$$m$$$ ($$$4 \le n, m \le 10$$$) — the number of rows and columns in the grid. Interaction First, output $$$n$$$ lines, each containing $$$m$$$ integers, representing the integers that you filled in the grid. Each integer from $$$1$$$ to $$$n \cdot m$$$ should appear exactly once. Then, the game begins. The interactor and you take turns outputting coordinates to select a cell for $$$n \times m$$$ turns, with the interactor starting first. On each player's (either you or the interactor) turn, the player will output two integers $$$i$$$ and $$$j$$$ ($$$1 \le i \le n$$$, $$$1 \le j \le m$$$), denoting that the player has selected the cell on the $$$i$$$-th row and $$$j$$$-th column. This cell should not have been selected in a previous round. Additionally, if it is not the first turn, the cell must be orthogonally adjacent to at least one previously selected cell. If any of your outputs are invalid, the jury will output "" -1 "" and you will receive a Wrong Answer verdict. At the end of all $$$n \cdot m$$$ turns, if the sum of numbers in the cells selected by you is not strictly less than the sum of numbers in the cells selected by the interactor, the jury will output "" -1 "" and you will receive a Wrong Answer verdict. If your program has received a Wrong Answer verdict, it must terminate immediately. Otherwise, you may receive an arbitrary verdict because your solution might be reading from a closed stream. After outputting, do not forget to output end of line and flush the output. Otherwise, you will get Idleness limit exceeded . To do this, use: fflush(stdout) or cout.flush() in C++; System.out.flush() in Java; flush(output) in Pascal; stdout.flush() in Python; see documentation for other languages. In this problem, hacks are disabled. Example 1
4 4




3 4

4 4

4 2

4 1

1 4

1 2

2 2

2 1 2 3 4 10
12 6 11 15
5 13 16 8
9 7 1 14

2 4

4 3

3 3

3 1

1 3

1 1

2 3

3 2 Note Note that this is an example game and does not necessarily represent the optimal strategy for both players. First, we fill a $$$4 \times 4$$$ grid with unique integers from $$$1$$$ to $$$16$$$ in the following way: $$$2$$$ $$$3$$$ $$$4$$$ $$$10$$$ $$$12$$$ $$$6$$$ $$$11$$$ $$$15$$$ $$$5$$$ $$$13$$$ $$$16$$$ $$$8$$$ $$$9$$$ $$$7$$$ $$$1$$$ $$$14$$$ Next, the game begins. The interactor first selects $$$(3, 4)$$$, which is the number $$$8$$$. For this selection, the interactor could choose any number. From the next selection onwards, each chosen number has to be adjacent to any previously selected number. We select $$$(2, 4)$$$, which is the number $$$15$$$, adjacent to $$$(3, 4)$$$. The interactor selects $$$(4, 4)$$$, which is the number $$$14$$$, adjacent to $$$(3, 4)$$$. We select $$$(4, 3)$$$, which is the number $$$1$$$, adjacent to $$$(4, 4)$$$. $$$\ldots$$$ This is continued until all numbers are selected. In the end, the numbers we selected were $$$[15, 1, 16, 5, 4, 2, 11, 13]$$$, and the numbers selected by the interactor were $$$[8, 14, 7, 9, 10, 3, 6, 12]$$$. The sum of the numbers we selected is $$$67$$$, which is less than the sum of the numbers selected by the interactor $$$69$$$. Therefore, we have won this game.",N/A,N/A
